newpaper,Title,Subheading,Content,date,URL,구분
농민신문,"하동 금오농협과 양산농협, 농촌일손돕기 통해 하나로 뭉쳤다","자매결연 두 농협, 지난해 이어 참다래 수확 ‘구슬땀’
“지역 농업과 농민에게 힘이 되는 동반자 역할 최선”","  경남 하동 금오농협과 양산농협이 최근 하동군 양보면 참다래 농장에서 농촌일손돕기 행사를 열고 있다.
    경남 하동 금오농협(조합장 정영대)과 자매결연농협인 양산농협(조합장 오영섭)이 최근 하동군 양보면 참다래 농장에서 지난해에 이어 2년째 농촌일손돕기 행사를 열고 농협간 협력 강화에 나섰다.
이번 행사는 만성적인 농촌 일손부족으로 어려움을 겪는 농가에 실질적인 도움을 주고 자매결연을 한 두 농협간 유대감을 강화하자는 취지에서 마련했다.
두 농협 임직원들은 참다래 수확과 선별작업에 적극 참여하며 구슬땀을 흘렸다. 도움을 받은 농민들은 “바쁜 수확철 일손이 부족해 어려움이 컸는데 적기에 찾아온 농협 직원들이 영농에 큰 힘이 됐다”며 고마워했다.
정영대 조합장은 “이번 참다래 수확 일손돕기를 통해 농가에 실질적인 도움을 드릴 수 있어 보람을 느낀다”며 “양산농협과 앞으로도 지속적인 협력을 통해 상생을 이어가겠다”고 밝혔다. 오영섭 조합장도 “농촌의 어려움을 함께 나누고 지원하기 위한 이 자리에 함께 할 수 있어 기쁘다”며 “농협 간의 협력을 강화해 더 많은 농가에 도움을 줄 수 있도록 노력하겠다”고 전했다.
두 농협은 앞으로도 농촌 지원과 다양한 지역사회공헌 활동을 이어가며 지역농업과 농민에게 힘이 되는 동반자로서의 역할을 다할 계획이다.
하동=최상일 기자 csi@nongmin.com",24-11-19,https://www.nongmin.com/article/20241118500311,[시장 정보]
농민신문,“겨울 간식으로 딱”…다이어트에 좋고 설사도 멎게 하는 ‘이것’,"도토리묵, 열량 낮고 수분 함량 높아
탄닌 성분이 설사를 멎게 하지만
변비 있는 사람은 섭취 주의해야","걸그룹 크레용팝 출신 방송인 소율과 그가 SNS에 게재한 도토리묵. 소율 SNS 캡처
겨울은 살이 찌기 쉬운 계절이다. 추운 날씨에 야외 활동이 줄어드는 데다 밤이 길어 간식과 야식의 유혹을 떨치기 힘들기 때문이다. 왠지 더 출출하고 수시로 입이 심심한 겨울철, 열량은 낮고 영양은 풍부한 ‘도토리묵’을 먹어보는 건 어떨까.  
걸그룹 크레용팝 출신 방송인 소율(33)은 최근 자신의 사회관계망서비스(SNS)를 통해 ‘겨울철 체중 증가’로 고민하는 팬의 질문에 “겨울에 아무래도 몸이 둔해지니까 음식을 조절해야 한다”고 말했다. 그러면서 소율은 저녁으로 ‘도토리묵’을 먹은 사진을 인증했다.
소율이 추천한 도토리묵은 체중 관리와 건강에 어떤 효과가 있을까.
우선 도토리묵은 열량이 낮다. 국가표준식품성분표에 따르면 도토리묵의 열량은 100ｇ당 47㎉ 수준이다. 양념장을 곁들여 먹으면 열량이 다소 높아지겠지만, 저염 간장 등을 활용하면 열량에 대한 고민을 덜 수 있다. 또 도토리묵은 수분 함량이 100ｇ당 88.1ｇ으로 높아 쉽게 포만감을 느낄 수 있다.

도토리묵은 체중 관리뿐만 아니라 건강에도 좋다. 농촌진흥청에 따르면 도토리는 혈관을 깨끗하게 하는 식재료다. 도토리에 풍부하게 함유된 칼륨은 체내 노폐물과 나트륨을 배출시켜 나쁜 콜레스테롤이 쌓이는 것을 막는다. 또 탄닌 성분은 체내 유해 산소인 활성산소를 억제해 세포가 산화해 늙는 것을 방지해준다.
특히 도토리묵은 중금속 해독에도 탁월하다. 도토리가루 1㎏에는 무려 3.5ｔ의 중금속 폐수 해독 능력이 있는 것으로 알려져 있다. 이런 효과는 도토리에 들어 있는 ‘아코산’이라는 성분 덕분이다. 아코산은 중금속은 물론 체내 유해 물질을 해독하기 때문에 ‘미세먼지 배출’에도 도움이 된다.
도토리묵사발. 이미지투데이
배탈을 예방하는 효과도 있다. 겨울철에는 추운 날씨 탓에 소화기관이 약해지기 쉬운데 도토리는 따뜻한 성질을 지니고 있어 위장을 따뜻하게 한다. ‘동의보감’에도 ‘도토리는 설사와 이질을 낫게 하고 위장을 든든하게 한다’고 기록돼 있다. 도토리가 설사를 멎게 하는 것은 탄닌 성분 때문인데, 탄닌은 장에서 수분을 흡수하는 역할을 한다.
다만 변비가 심한 사람은 도토리묵 섭취에 주의해야 한다. 탄닌은 먹었을 때 ‘떫은 맛’을 내는 성분으로 변비를 유발하는 대표적인 과일로 알려진 ‘감’에도 들어 있다. 해당 성분은 설사를 멎게 할 정도로 수분을 흡수하기 때문에 변비가 있다면 악화될 수 있다.
도토리묵을 활용한 요리에는 ▲도토리묵밥 ▲도토리묵무침 ▲말린 도토리묵볶음 ▲도토리묵조림 ▲도토리묵굴무침 ▲도토리묵장아찌 등이 있다. 자세한 요리법은 농진청 국립농업과학원이 운영하는 ‘농식품올바로’ 홈페이지에서 볼 수 있다.
권나연 기자 kny0621@nongmin.com",24-11-19,https://www.nongmin.com/article/20241118500393,[시장 정보]
농민신문,부정여론 확산…가락시장 12월 휴장 철회,"제주 등 겨울채소 주산지 타격 
피해대책 없이 추진 볼멘소리 
“인력 보충·제도 개선 검토를”","서울시농수산식품공사가 서울 가락시장 주 5일제 도입을 위한 동절기 시범휴업 계획을 일부 철회했다. 올 12월과 내년 2·3월 모두 3회에 걸쳐 평일 시범휴업을 추진하기로 한 계획에서 12월 휴장은 없던 일로 하기로 한 것이다. 산지 예상 피해에 대한 대책은 내놓지 않은 채 출하 농민만 제도 개편 시험대에 잇따라 세운다는 본지 지적(11월4일자 6면 보도)에다 늦춰진 김장철 등을 종합적으로 고려한 것으로 풀이된다.
  ◆당초 계획은=공사가 계획한 2차 시범휴업일은 12월4일과 내년 2월12일, 3월5일 등 3일이다. 세 날짜 모두 수요일이다. 앞서 공사는 10월31일 ‘가락시장 개장일 탄력적 운영 검토 협의체’ 5차 회의를 비공개로 열어 이같이 결정했다. 주 5일제 도입에 따른 물동량 변화와 인력 운용에 따른 실태를 파악하려면 평일에도 시범적으로 쉬어봐야 한다는 논리에서다. 공사는 지난해 11월4일, 12월2일, 올 3월2일 등 3일에 걸쳐 1차 시범휴업을 진행했다. 휴업일은 모두 토요일이었다.
◆12월 시범사업 철회 이유는=1차 시범휴업에 이어 2차도 그대로 밀어붙일 태세였던 공사가 계획을 전면 수정한 데는 여러 요인이 작용한 것으로 보인다. 우선 본지 보도 이후 산지에서 비판의 목소리가 거셌다. 제주 등 겨울채소 주산지가 타격이 예상되는 상황인데도 주산지 일부에선 (12월 평일 휴업을) 검토하는 것조차 전해 듣지 못한 것으로 파악되면서 부정적 여론이 일었다.
정부의 제동도 한몫한 것으로 분석된다. 농림축산식품부는 출하자 의견 수렴이 부족한 의사 결정 과정에 문제를 제기했고 급기야 공사 실무 책임자가 농식품부에서 사실상 질책성 항의를 받은 것으로 확인됐다.
늦어진 김장철도 분위기 전환에 가세했다. 소비지에선 배추값이 불안정하고 날씨마저 이상고온이 이어지면서 중부권 기준으로 본격적인 김장철은 11월 셋째주 이후에야 본격화할 것이란 관측이 많았다. 농식품부 역시 김장 지연을 언급하며 시범휴업을 진행할 경우 농산물 값 등락에 끼칠 영향을 지적한 것으로 알려졌다.
◆남은 쟁점은=공사는 당분간 산지 의견을 더 수렴하겠다는 입장이다. 감귤·만감류·딸기 등 동절기 대표 품목 20여개를 뽑아 해당 산지와 간담회를 열어 출하자와 유통인 간 공감대를 이끌어보겠다는 것이다.
산지 관계자 A씨는 “겨울철 물량이 많은 상황에서 휴업을 하지 않아 다행”이라면서도 “(휴업할 때) 산지 피해를 최소화하기 위한 대책을 마련하겠다는 의지는 없는 것 같아 걱정스럽다”고 말했다.
가락시장 주 5일제 도입을 전제로 시범휴업 여부만을 줄다리기하는 근시안적 행태에 대한 비판도 나온다.
김학종 제주양배추연합회장은 “시범휴업 몇번만으로는 가락시장 주 5일제 도입의 적절성을 판단할 수는 없다”면서 “과연 가락시장이 주 5일제를 해야 하는 것인지, 인력 벌충이나 제도 보완 등으로 현재 같은 주 6일제를 고수할 수는 없는지, 원점에서 검토할 필요가 있다”고 말했다.
서효상 기자 hsseo@nongmin.com",24-11-18,https://www.nongmin.com/article/20241118500692,[시장 정보]
농민신문,"정희용 의원, 인공지능산업 체계적 육성 위한 법안 발의","18일 ‘AI산업 육성 및 발전 등에 관한 법률 제정안’ 제출
정부, 농촌주민에 도움이 되는 AI 기술 개발 지원","인공지능(AI)이 각 산업의 패러다임을 바꿀 미래 핵심 기술로 평가받는 가운데, 정부가 농촌주민에게 도움이 되는 AI 기술의 개발·보급을 지원할 수 있도록 법 제정이 추진된다. 
정희용 국민의힘 의원(경북 고령·성주·칠곡, 사진)은 18일 이런 내용의 ‘AI산업 육성 및 발전 등에 관한 법률 제정안’을 대표 발의했다. AI 산업의 체계적인 육성과 발전에 필요한 제도적 기반을 마련한다는 취지에서다. 영국 매체 ‘토터스 미디어’가 발표한 ‘2024년 글로벌 AI 인덱스’에 따르면 한국의 AI 경쟁력은 세계 6위로 높은 수준이나 관련 법적 기반은 취약한 실정이다.
제정안은 과학기술정보통신부 장관이 3년 마다 AI 기술·산업의 진흥과 국가경쟁력 강화를 위해 국무총리 소속 AI위원회의 심의·의결을 거쳐 ‘AI 기본계획’을 수립·시행하도록 했다. 또 기본계획 수립·시행에 필요한 전문기술의 지원 등의 역할을 수행하는 국가인공지능센터도 두도록 규정했다. 
과기부 장관은 AI 기술의 안전하고 편리한 이용을 위한 사업을 지원할 수 있도록 했는데, 특히 농어촌지역 주민, 장애인, 고령자 등이 손쉽게 이용할 수 있는 AI 기술의 개발과 보급 사업을 지원할 수 있도록 명시했다. 
아울러 정부는 AI위원회의 심의·의결을 거쳐 AI 윤리에 관한 원칙을 제정할 수 있게 했고, 전문인력을 양성하고 지원할 수 있는 근거도 마련했다.
정 의원은 “제정안이 국내 AI 산업 발전의 초석이자 대한민국이 AI 기술 주도권 경쟁에서 선도국가로 도약하는 계기가 되길 기대한다”면서 “앞으로도 온 국민이 불편함 없이 AI를 이용할 수 있도록 힘쓰겠다”고 밝혔다. 
양석훈 기자 shakun@nongmin.com",24-11-18,https://www.nongmin.com/article/20241118500560,[기술 동향]
농민신문,"울산원예농협, ‘1사1교 청소년 금융교육’ 진행","울주군 장검중학교 저학년 대상으로
중학생 눈높이 맞춰 알기 쉽게 진행","울산원예농협(조합장 김창균)은 18일 울주군에 있는 장검중학교에서 ‘1사1교 청소년 금융교육’을 펼쳤다고 밝혔다.
‘1사1교 금융교육’은 농협 등 금융회사가 초·중·고교와 자매결연을 맺고 학생들을 대상으로 다양한 금융교육을 진행하는 프로그램이다. 울산원협은 이번 교육에서 이 학교 저학년을 대상으로 금융에 대한 기본지식과 저축의 중요성, 청소년 보이스피싱 피해예방법 등을 눈높이에 맞춰 알기 쉽게 설명해 호응을 얻었다.
김창균 조합장은 “지역 청소년들의 올바른 경제 가치관과 건전한 소비습관을 함양할 수 있는 금융교육을 지속적으로 펼쳐 지역사회에 이바지할 수 있도록 더욱 노력하겠다”고 말했다.
울주=김광동 기자 kimgd@nongmin.com",24-11-18,https://www.nongmin.com/article/20241118500378,[정치/사회]
농민신문,‘밥맛이 거창합니다!’…2024년 경남 우수 브랜드 쌀 평가 ‘대상’ 수상,거창군 “품위·식미 등 가장 높은 점수…브랜드 우수성 입증”,"15일 열린 2024년 경남 우수 브랜드 쌀 평가에서 ‘밥맛이 거창합니다’ 브랜드가 대상을 수상했다.
 ‘밥맛이 거창합니다’ 브랜드 쌀.
  경남 거창군은 15일 열린 ‘제29회 농업인의 날 기념행사’에서 ‘밥맛이 거창합니다’ 브랜드가 2024년 경남 우수 브랜드 쌀 평가 결과 ‘대상’을 수상했다고 밝혔다.
‘밥맛이 거창합니다’는 천혜의 자연환경을 자랑하는 거창에서 농민들과 계약재배를 통해 단일 품종으로 생산된 브랜드 쌀로, 자체적으로 엄격한 품질관리 기준을 도입해 철저하게 관리되고 있다.
‘밥맛이 거창합니다’는 브랜드 런칭 이후 각종 평가에서 우수상과 최우수상 등을 수상하며 꾸준히 인지도를 높여왔다. 이름 그대로 밥맛이 뛰어난 것으로 정평이 나 있어 소비자 만족도와 선호도가 매우 높다.
이번 경남 우수 브랜드 쌀 평가에서도 품위와 식미 등에서 가장 높은 점수를 받아 대상을 수상하며, ‘밥맛이 거창합니다’ 브랜드의 우수성을 다시 한번 입증했다.
구인모 거창군수는 “경남 최고의 명품 쌀 ‘밥맛이 거창합니다’가 전국에서도 손꼽히는 브랜드로 자리 잡을 수 있도록 행정에서도 적극 노력해 거창 농민의 소득향상에 기여하겠다”고 말했다.
거창=최상일 기자 csi@nongmin.com",24-11-18,https://www.nongmin.com/article/20241118500280,[시장 정보]
농민신문,경상북도·경북농협 ‘밥심나눔적금’으로 쌀 소비 확대 맞손,"18일 서안동농협 신도청지점에서 가입 행사
최고 2% 우대 금리 혜택…쌀 나눔 기부 가능","임도곤 경북농협 본부장(왼쪽부터), 김학홍 경상북도 행정부지사, 박영동 서안동농협 조합장이 18일 서안동농협 신도청지점에서 ‘밥심(心)나눔적금’ 을 가입하고 있다. 
경상북도(도지사 이철우)와 경북농협본부(본부장 임도곤)가 농협이 출시한 ‘밥심나눔적금’으로 쌀 생산농가를 응원하고, 쌀 소비 촉진 활성화에 손을 맞잡았다. 
두 기관은 18일 서안동농협(조합장 박영동) 신도청지점에서 쌀 소비문화 확산을 위한 사회공헌형 금융 상품 ‘밥심(心)나눔적금’ 가입행사를 진행했다. 
농축협에서 가입할 수 있는 ‘밥심나눔적금’은 15일 출시했으며, 매월 1만원 이상 20만원까지 납입 가능한 1년 만기 자유적립적금 상품으로 1인 2계좌까지 가능하다. 
특히 고객이 상품 가입 때 서약을 통해 아침밥 먹기 생활 실천에 동참하면  농축협별 기본금리에 더해 1%포인트 우대금리를 받을 수 있고, 추가로 최고 1%포인트 영업점 우대금리를 더 받을 수 있다. 더불어 농협은 일정 기금을 적립해 쌀 나눔 기부 사업을 진행한다.
김주령 경상북도 농축산유통국장(앞줄 왼쪽 세번째부터), 박영동 서안동농협 조합장, 김학홍 경북도 행정부지사, 임도곤 경북농협 본부장 등이 ‘밥심나눔적금’ 가입 후 아침밥 먹기 서약을 하면서 파이팅을 외치고 있다. 
이날 적금에 가입한 김학홍 경북도 행정부지사는 “가격 하락으로 어려움을 겪는 벼재배 농가에 용기를 북돋우고 쌀 나눔을 실천할 수 있는 의미 있는 상품이다”면서 “도는 고품질 쌀 생산과 건강한 쌀 소비문화 확산을 위해 농정 파트너인 농협과 함께 각종 협력 사업을 지속해 추진하겠다”고 밝혔다.
임도곤 본부장은 “적금 가입으로 아침밥에 대한 소중함을 인식하고, 쌀 기부로 사랑을 실천할 수 있는 공익형 상품인 만큼 도민의 많은 관심과 참여를 부탁드린다”고 말했다.
경북도와 경북농협은 8월20일 경북 쌀 소비 촉진을 위한 ‘아침밥 먹기 운동 업무협약’을 체결하고, 쌀 소비 확대를 위해 함께 노력하고 있다.  
안동=유건연 기자 sower@nongmin.com",24-11-18,https://www.nongmin.com/article/20241118500375,[정치/사회]
농민신문,"경북농협·NH농기계기술자협의회, 올해 농기계 무상 수리 활동 마쳐",6차례 585대 무상 수리·점검,"양봉철 경북 영양농협 조합장(앞줄 왼쪽 다섯번째)과 경북NH농기계기술자협의회 회원 등이 15일 영양농협 경제사업장에서 농기계 순회 수리에 앞서 파이팅을 외치고 있다.
경북농협본부(본부장 임도곤)와 경북NH농기계기술자협의회(회장 황종건)가 15일 영양농협(조합장 양봉철)을 찾아 농기계 무상 수리와 영농을 마친 기계를 점검했다. 올해 마지막 찾아가는 무상 수리 활동이었다.
영양농협 경제사업장에서 이뤄진 봉사활동에선 농기계 수리센터가 멀리 떨어져 불편을 겪는 농가 경운기·관리기·예취기 등  92대를 무상 수리·점검해 농가로부터 좋은 반응을 얻었다.
양봉철 조합장은 “수확을 마친 농기계 대상으로 적절한 시기에 점검과 수리는 물론 안전사고 예방 교육까지 지원해 조합원에게 큰 도움이 됐다”며 고마움을 표시했다.
협의회는 올해 오지 마을을 순회하며 6차례에 걸쳐 585대 농기계를 무상으로 수리·점검했다. 특히 7월초 집중호우로 피해가 발생한 안동과 영영지역을 찾아 두차례 진급 순회 수리를 진행하며 조기 복구에 힘을 보탰다.
임도곤 본부장은 “올해도 변함없이 농가가 어려울 때 마다 자발적으로 순회 수리를 추진한 경북NH농기계기술자협의회 회원에게 깊은 감사를 전한다. 농기계 수리에 불편을 겪는 농민을 위해 지속적으로 봉사활동을 전개하도록 힘쓰겠다”고 말했다.
영양=유건연 기자 sower@nongmin.com",24-11-18,https://www.nongmin.com/article/20241118500374,[기술 동향]
농민신문,[맛있는 이야기] 투박함 속 영양 가득…어머니 떠오르는 푸근한 맛 ‘호박’,"[맛있는 이야기] 호박 
반찬·간식재료로 요긴한 존재 
꿀·대추 넣고 쪄내 환절기 보양 
소화 잘돼…다이어트에도 좋아 
일부 지역선 김치·찌개로 요리","드라마나 영화에서 ‘시골’을 묘사할 때 자주 등장하는 클리셰(진부한 표현)가 있다. 노랗게 익은 벼 이삭부터 툇마루를 오가는 강아지, 마당에 널어놓은 마른 고추 등이다. 그리고 또 하나, 보기만 해도 푸짐함과 넉넉함이 느껴지는 늙은 호박을 빼놓을 수 없다. 청둥호박으로도 불리는 늙은 호박은 반찬이자 간식거리다. 그리고 가정상비약 역할도 했던 고마운 존재다.
찬바람이 불어올 무렵, 시골 할머니들은 호박 꿀단지를 만들기 위해 늙은 호박의 꼭지 부분을 도려내고 속을 긁어내곤 했다. 씨를 제거한 호박에 꿀과 대추, 때로는 인삼 한뿌리를 넣고 뚜껑을 덮어 약한 불에 푹 쪄낸다. 서너 시간 정도 익히면 맑고 달콤한 물이 고이는데, 따끈한 이 즙액을 마시는 것이다.
호박 꿀단지는 환절기 감기를 잡는 데 즉효이며, 온 가족의 간편 보양식이었다. 이뇨 효과가 있는 호박즙은 막 아이를 낳은 산모의 붓기도 빼준다.
늙은 호박은 결이 단단해 겨우내 거뜬하게 보관할 수 있다. 소화하기 쉬우므로 위가 약한 환자에게 좋고, 저칼로리에 섬유질이 풍부한 다이어트 식품으로도 통한다. 흔히 죽으로 먹고 떡이나 강정·식혜 등 다양한 요리에 응용할 수 있다. 서양에서는 추수감사절 무렵 곱게 으깬 호박에 설탕과 버터·계피로 맛을 낸 파이를 구워 먹는다.
호박은 열매 말고도 잎이나 씨앗·꽃까지 쓸모가 많다. 한여름에는 연한 호박잎에 짭짤한 강된장을 곁들여 쌈밥으로 먹는다.
흔하지는 않지만 꽃도 식용이 가능하다. 이탈리아에서는 호박의 수꽃을 따서 다진 고기와 채소 등을 채워 넣고 오븐에 굽거나 수프에 띄워 먹는다. 소금에 볶은 구수한 호박씨는 중국인들이 특히 즐기는 주전부리 간식이다.
황해도와 충청도 일부 지역에서는 늙은 호박을 김치 재료로 쓴다. 호박김치는 김장을 하고 남은 배추와 무, 기타 부재료를 알뜰하게 활용하기 위한 허드레 김치다.
그냥 먹는 일은 많지 않고, 푹 익혀서 찌개로 만들어 먹는다. 호박김치로 끓인 찌개는 개성 출신의 실향민인 박완서 작가가 소설 ‘미망’에서 언급한 적 있다.
주인공 전태임의 모친인 청상과부 머릿방아씨는 한번의 실수로 친정 머슴의 아이를 임신한다. 그 사실을 숨긴 채 친정을 찾은 그녀는 먹고 싶은 음식이 있냐는 말에 “된밥에 호박김치나 푹 무르게 끓여주세요”라며 “제육 몇점 썰어 넣으면 참 맛있겠다”고 침을 꼴깍 삼킨다.
달달하고 쿰쿰한 김치에 돼지고기를 추가해 끓인 김치찌개. 말만 들어도 푸짐한 밥상이 연상된다. 뜨끈한 김치찌개를 갓 지은 밥 위에 넣고, 참기름을 몇방울 떨어뜨린 뒤 쓱쓱 비비면 다른 반찬이 필요 없을 정도다. 한편 서해안지역에 가면 호박김치에 꽃게를 넣고 시원하게 끓여낸 게국지가 별미로 꼽힌다.
모양새가 투박한 늙은 호박은 못생긴 사람과 비교된다. 하지만 맛도 좋고 몸에도 좋은 호박을 멸칭으로 사용하는 것은 아무래도 부당한 것 같다. 특히 요즘 같은 환절기, 몸을 따뜻하게 해주는 호박은 저렴하고 구하기 쉬울뿐더러 맛까지 좋은 팔방미인이다.
서울 종로구 광장시장에 있는 ‘수원죽집’에선 뜨끈하고 구수한 호박죽을 맛볼 수 있다. 살짝 거친 듯한 식감에 은은한 단맛은 부담스럽지 않으면서 온몸에 온기를 전해준다.
소박하지만 영양이 가득한 늙은 호박은 수수한 외양 속에 뜨거운 열정과 사랑을 감추고 있는 우리네 어머니들의 모습과 닮아 있다.
정세진 맛칼럼니스트",24-11-18,https://www.nongmin.com/article/20241118500591,[시장 정보]
농민신문,"무인 자율주행 트랙터, 내년 연천 콩밭 누빈다","임진농협, 농업용로봇 실증사업 선정 
로터리·파종기·방제기 등 12대 투입 
생산량 증가·노동력 절감 효과 기대
농가에 5년 무상임대…농작업 대행도","현상태 경기 연천 임진농협 조합장(왼쪽)이 콩 재배농가 김용수씨와 함께 무인 자율주행 트랙터 앞에서 농업용 로봇의 편리성을 설명하고 있다.
“기대가 아주 커요. 사람 구하기가 너무 어려운 농촌에서 내년부터 무인 자율주행 트랙터로 콩농사를 할 수 있으니 열심히 공부해서 농작업에 100% 활용해야죠.”
최근 경기 연천군 군남면에서 만난 콩 재배농가 김용수씨(59·선곡리)는 “올여름 임진농협으로부터 무인 자율주행 트랙터를 배정받았다”며 이같이 밝혔다.
내년부터 연천에서 콩농사를 짓는 농가는 농업용 로봇으로 일손은 크게 덜고 생산량은 높이는 농업혁신을 경험하게 된다. 임진농협(조합장 현상태)이 올해 3월 한국농업기술진흥원이 시행하는 ‘농업용 로봇 실증지원 사업’에 대상자로 선정된 덕분이다.
이 사업은 농업현장에 무인 자율주행 농업용 로봇을 투입하고 생산량 증가와 노동력 절감 실증 자료를 축적하는 것이 목적이다. 지난해에는 사과(경남 거창)·벼(충남 당진)·양파(경남 함양) 3품목이 대상이었다. 올해는 복숭아(충북 옥천)·콩(경기 연천)·밀(전북 김제)이 대상이다.
임진농협은 한국농업기술진흥원과 농가를 잇는 간접보조자로 농가에 5년간 농업용 로봇을 임대하고 사후관리 역할을 맡는다.
임진농협이 이번에 받은 농업용 로봇은 트랙터 4대, 로터리 3대, 파종기 1대, 광역방제기 1대, 드론 3대다. 이들 농업용 로봇은 위치정보시스템(GPS)과 연결해 농작업을 할 위치를 좌표로 찍으면 스스로 움직이는 것이 특징이다.
임진농협은 25명의 콩 재배농가를 회원으로 둔 연천군콩연구회와 함께 농가를 선정해 농업용 로봇을 5년간 무상 임대했다. 선정된 이들은 올여름 농업용 로봇 작동법을 배우고 현장 교육까지 마쳤으며, 내년부터 농업용 로봇을 활용하게 된다. 일반 콩농가가 농업용 로봇의 작업을 요청하면 무상으로 농작업도 대행한다.
임진농협은 콩농사에 농업용 로봇이 투입되면 노동력은 크게 절감되고, 생산량은 증가할 것으로 기대한다. 실제 김용수씨는 “올여름 무인 자율주행 트랙터 운행연습을 했는데, 좌표만 찍으면 스스로 움직이며 모든 농작업을 했다”며 “무인 자율주행 트랙터가 일할 동안 휴식이나 다른 농작업을 할 수 있어 좋았다”고 했다.
현상태 조합장은 “농업용 로봇은 이상기온으로 농업 생산성이 떨어지고 인구도 줄고 있는 농촌에 꼭 필요한 존재”라며 “이 사업을 잘 운영해 대한민국 농업 발전에 이바지하겠다”고 말했다.
연천=오영채 기자",24-11-18,https://www.nongmin.com/article/20241118500579,[시장 정보]
